Quantity,Last purchase (days),Transactions Amount,Number of Transactions
2458,40,4309.999999999997,182
2341,76,1797.24,31
631,19,1757.55,73
197,311,334.40000000000003,17
470,73,1545.4100000000005,95
20,204,89.0,4
530,233,1079.4,58
240,96,459.4,13
1591,23,2811.4300000000007,59
2708,182,6207.669999999996,131
248,3,1168.06,19
1612,9,6245.530000000006,254
1165,53,2662.0600000000004,129
91,288,189.89999999999998,10
2212,12,5154.580000000002,274
408,36,552.0,23
1506,41,1313.1000000000001,85
173,292,320.69,23
173,212,168.9,11
2353,52,3545.689999999998,167
591,30,1887.9600000000003,63
794,35,1298.0400000000002,52
197,342,364.6,14
342,26,742.93,33
177,11,455.42000000000013,18
944,316,1628.1199999999997,77
2529,305,4008.6200000000013,219
406,82,850.2899999999996,41
1126,22,2720.56,105
783,0,1803.9600000000005,91
1529,9,1839.3099999999997,100
121,29,566.16,30
354,192,401.90000000000003,10
1462,16,2780.6600000000003,100
353,80,549.8399999999999,32
300,22,460.88999999999993,100
816,39,1582.6000000000004,64
819,153,1272.48,27
2113,5,2998.279999999999,159
1263,136,2409.9000000000005,126
1394,46,1635.6599999999999,85
1178,2,1108.65,59
11,99,84.3,5
94,324,225.6,11
95,50,409.7,6
857,149,1710.3900000000006,54
1809,22,3280.7500000000014,108
1416,50,1708.1199999999997,77
1399,128,2842.57,113
5543,65,11056.930000000004,114
209,38,681.0799999999999,28
829,75,1226.8799999999999,61
282,9,694.15,40
300,188,562.41,18
77242,25,123725.44999999987,778
1539,40,3578.8,198
407,113,668.5799999999997,34
345,153,600.3900000000001,29
483,16,806.2700000000002,46
370,169,803.5599999999998,39
1327,89,1849.1100000000001,126
740,163,1760.9599999999998,30
496,78,777.1999999999999,36
258,195,582.7299999999999,30
236,12,708.3700000000001,35
3503,26,7877.200000000004,300
1557,9,3750.400000000001,97
117,44,256.4,11
2868,2,6416.389999999999,240
1801,43,5059.3200000000015,108
11071,10,13375.869999999992,420
373,85,765.1899999999999,54
2055,80,7829.889999999998,36
211,335,509.01000000000005,16
2918,9,4896.659999999998,201
1180,15,2906.8500000000004,98
121,485,173.55,11
182,181,172.06,12
1155,0,5005.46,177
62,22,133.4,4
352,58,1002.3099999999998,58
190,67,476.49,26
243,45,449.4500000000001,22
1553,23,4067.2900000000013,191
128,174,197.88,8
6455,11,8933.519999999999,355
183,17,428.57000000000005,23
473,135,707.0899999999999,43
2089,74,2466.859999999997,90
1616,45,3153.889999999998,129
695,0,1917.78,68
506,72,947.4000000000001,38
287,125,826.8800000000001,35
514,19,1124.0099999999998,72
757,6,1303.6299999999997,88
112,11,1212.0499999999997,29
475,18,733.8900000000001,51
364,144,724.04,40
7965,0,18740.91999999994,531
4020,52,6229.480000000004,391
2363,54,2848.2299999999996,179
4764,3,7116.47,457
535,54,723.38,36
2337,16,6546.580000000007,264
3620,23,13117.009999999993,308
236,181,680.9900000000002,36
351,12,477.30000000000007,35
1707,29,3281.6300000000015,154
3290,23,5590.8600000000015,218
1097,18,2327.130000000001,81
2185,101,4495.27,350
529,10,1298.6599999999999,55
105,162,334.92999999999995,15
3064,18,5417.9299999999985,245
260,333,460.4000000000001,26
192,106,263.21,20
206,166,416.79,23
690,10,1139.3500000000008,84
1236,82,1043.1,14
159,22,403.7,23
2671,24,4206.2699999999995,65
1722,162,2089.68,160
820,188,3723.87,147
-1,192,-1126.0,1
51,19,114.00000000000003,15
-1,38,-4.5,1
23,233,73.50000000000003,23
894,135,1258.06,23
272,27,398.27000000000004,69
55,285,176.5,7
353,143,982.57,33
99,244,138.03000000000006,34
456,85,586.7900000000001,36
440,268,1017.6800000000002,51
131,354,383.7,16
875,4,1312.06,26
1348,29,2464.8899999999994,286
1318,0,2056.8899999999994,124
183,153,340.84,18
1430,37,2582.5099999999998,155
309,143,599.6800000000001,38
194,40,192.72000000000003,12
861,9,1745.5700000000006,110
3699,10,4485.719999999999,144
632,54,1316.6600000000005,71
234,82,348.71000000000004,18
750,10,1922.2800000000009,95
900,30,1623.6299999999994,68
45,15,125.22,17
153,90,349.83,16
651,336,1089.18,63
219,92,716.3500000000001,34
2652,30,4106.820000000003,273
191,60,363.95,21
2066,23,3852.4999999999986,274
6677,20,13309.039999999992,481
680,60,981.1800000000002,52
132,60,355.7,20
523,76,1000.3899999999999,50
617,47,1141.5,70
134,198,207.8,8
49,167,95.19999999999999,5
569,80,964.8299999999994,57
100,358,168.0,10
88,40,437.81999999999994,20
1924,0,3652.2500000000014,196
358,33,603.7099999999997,121
4384,17,11990.96,33
281,311,536.2099999999999,22
1078,101,2101.3900000000003,111
177,69,238.85,16
1779,23,3781.7400000000025,168
133,262,456.9000000000001,21
75,282,131.17,10
264,73,346.70000000000005,20
4089,23,9114.939999999993,463
1793,0,4064.989999999999,191
523,40,519.6099999999999,34
450,48,1004.7200000000003,62
84,228,160.54,28
61,316,218.45000000000002,11
964,130,1306.9799999999998,89
466,243,595.4000000000003,148
1171,22,2753.3599999999988,120
278,74,410.71999999999997,31
238,159,415.7,24
161,40,197.70999999999998,15
300,239,511.3599999999999,22
5009,0,7187.339999999993,251
354,10,1893.9500000000005,126
1258,223,1982.809999999999,97
77,18,179.94,12
51,301,144.0,4
53,40,214.9,10
306,29,646.6800000000001,35
4279,5,9861.380000000003,70
228,318,452.84999999999985,26
290,66,437.59999999999997,18
206,109,418.09999999999997,21
1776,47,3320.2199999999984,119
474,36,618.27,27
2187,20,3683.1300000000015,214
1940,10,3002.679999999999,133
956,33,1032.5800000000006,62
773,29,2581.0400000000004,65
244,39,569.5600000000001,29
162,0,153.12000000000003,12
64,22,739.1999999999999,3
201,80,254.17999999999995,16
-4,454,-7.5,3
648,79,1126.8500000000001,60
1028,23,2057.9900000000007,111
846,53,1193.32,65
251,58,643.5900000000001,21
1596,58,3218.979999999998,163
76,160,315.59999999999997,20
1376,72,2291.1900000000005,105
273,86,657.25,36
213,60,355.5300000000002,42
